id,miejscowosc,ulica,numer_domu,kod_pocztowy
66310,Wiśniowa,,82,32-412
66311,Rzęśnica,,11,78-520
66312,Pozezdrze,ul. Świerczewskiego,3,11-610
66313,Białogard,ul. Kisielice Duże,30,78-200
66314,Kalisz,ul. Częstochowska,25,62-800
66315,Kalisz,ul. Częstochowska,25,62-800
66316,Różaniec Pierwszy,,94,23-420
66317,Kowal,ul. Kazimierza Wielkiego,9,87-820
66318,Stare Lubiejewo,ul. Klonowa,4,07-300
66319,Dobrocin,,3,14-330
66320,Białystok,ul. Upalna,26,15-668
66321,Henryków,,54,67-300
66322,Skierniewice,ul. Pomologiczna,15,96-100
66323,Skierniewice,ul. Pomologiczna,6,96-100
66324,Marianowo,,7,18-421
66325,Stary Brześć,,14,87-880
66326,Rudka,ul. Ossolińskich,1,17-123
66327,Hadra,ul. Szkolna,29,42-714
66328,Ożarów Mazowiecki,ul. Niska,12,05-850
66329,Nieszkowice,,26,57-100
66330,Dobryszyce,ul. Szkolna,4,97-505
66331,Nakło Śląskie,,9,42-620
66332,Hadra,ul. Szkolna,29,42-714
66333,Hadra,ul. Szkolna,29,42-714
66334,Sandomierz,ul. Mokoszyńska,1,27-600
66335,Gołotczyzna,ul. Ciechanowska,18b,06-430
66336,Bonin,,1,76-009
66337,Bystrzyca Kłodzka,ul. Wojska Polskiego,8,57-500
66338,Dąbrowno,,50,42-320
66339,Studzieniec,,30,09-200
66340,Małoszyna,,46,62-710
66341,Karczyce,,12,55-311
66342,Węsiory,,48,83-320
66343,Jastrzębie-Zdrój,ul. Poznańska,1a,44-335
66344,Czchów,ul. Sądecka,187,32-860
66345,Brzesko,ul. gen. Leopolda Okulickiego,2,32-800
66346,Nowa Iwiczna,ul. Niezapominajki,2,05-500
66347,Goniądz,ul. Konstytucji 3 Maja,18,19-110
66348,Okszów,ul. Szkolna,2,22-105
66349,Kamień Mały,,89,66-460
66350,Mońki,ul. Tysiąclecia,15,19-100
66351,Jabłoń,ul. Augusta Zamoyskiego,4,21-205
66352,Bydgoszcz,ul. Filmowa,1,85-836
66353,Mokrzeszów,,111,58-160
66354,Potoczek,,43,23-313
66355,Goniądz,ul. Konstytucji 3 Maja,18,19-110
66356,Goniądz,ul. Konstytucji 3 Maja,18,19-110
66357,Goniądz,ul. Konstytucji 3 Maja,18,19-110
66358,Goniądz,ul. Konstytucji 3 Maja,18,19-110
66359,Goniądz,ul. Konstytucji 3 Maja,18,19-110
66360,Goniądz,ul. Konstytucji 3 Maja,18,19-110
66361,Goniądz,ul. Konstytucji 3 Maja,18,19-110
66362,Mońki,ul. Szkolna,22,19-100
66363,Janów,ul. Białostocka,22,16-130
66364,Laskowa,,3,32-640
66365,Wołomin,ul. Orwida,22,05-200
66366,Świdnica,ul. Romualda Traugutta,7,58-100
66367,Karczmiska Pierwsze,ul. Szkolna,1,24-310
66368,Świdnica,ul. Romualda Traugutta,7,58-100
66369,Świdnica,ul. Romualda Traugutta,7,58-100
66370,Sosnowiec,ul. Klonowa,12,41-218
66371,Katowice,ul. Pszczyńska,6,40-479
66372,Świdnica,ul. Długa,3,66-008
66373,Dąbrowno,,50,42-320
66374,Katowice,,12,40-594
66375,Kalisz,ul. Kazimierzowska,10B,62-800
66376,Wólka Ostrożeńska,,23A,08-404
66377,Chełm,ul. Nowy Świat,3,22-100
66378,Chełm,ul. Nowy Świat,3,22-100
66379,Brwinów,ul. Marii Konopnickiej,1,05-840
66380,Mechowiec,,78,36-122
66381,Lubin,ul. Cypriana Kamila Norwida,39,59-300
66382,Chroberz,ul. Parkowa,11,28-425
66383,Winnica,,37A,59-223
66384,Poznań,ul. Romka Strzałkowskiego,5,60-854
66385,Pruszcz Gdański,ul. Fryderyka Chopina,3,83-000
66386,Tarnowskie Góry,ul. Słoneczników,23,42-600
66387,Konin,ul. Bydgoska,2a,62-510
66388,Konin,ul. Bydgoska,2a,62-510
66389,Inowrocław,ul. Szklarska,7,88-100
66390,Inowrocław,ul. Poznańska,18,88-100
66391,Marianowo,,7,18-421
66392,Lipinki,ul. Wiśniowa,1,05-200
66393,Hutka,ul. Długa,1,42-134
66394,Wilcza Wola,,29a,36-121
66395,Warlubie,ul. Szkolna,8,86-160
66396,Czartajew,ul. Długa,130,17-300
66397,Nowogard,ul. Zielona,11,72-200
66398,Oświęcim,ul. Żwirki i Wigury,1,32-600
66399,Lębork,ul. Tadeusza Kościuszki,14,84-300
66400,Skarżysko-Kamienna,ul. Akacjowa,1,26-110
66401,Luboń,ul. Armii Poznań,27,62-030
66402,Łódź,ul. Jana Kilińskiego,98,90-012
66403,Jelenia Góra,ul. Marii Konopnickiej,1,58-500
66404,Kołuda Wielka,ul. Główna,1,88-160
66405,Augustów,ul. Kilińskiego,3,16-300
66406,Augustów,ul. Kilińskiego,3,16-300
66407,Grójec,ul. Polskiej Organizacji Wojskowej,4,05-600
66408,Grójec,ul. Polskiej Organizacji Wojskowej,4,05-600
66409,Grójec,ul. Józefa Piłsudskiego,59A,05-600
66410,Brwinów,ul. Marii Konopnickiej,1,05-840
66411,Żywiec,ul. Sienkiewicza,65,34-300
66412,Wołomin,ul. Długa,39A,05-200
66413,Warszawa,ul. Kowelska,1,03-432
66414,Olsztyn,ul. Roberta i Karola Małłków,3,10-113
66415,Kęty,ul. Żwirki i Wigury,27b,32-650
66416,Rzeszów,ul. Stefana Starzyńskiego,17,35-508
66417,Bydgoszcz,ul. Fordońska,120,85-739
66418,Gdańsk,ul. Jacka Malczewskiego,51,80-107
66419,Bydgoszcz,ul. Maksymiliana Piotrowskiego,11,85-098
66420,Bydgoszcz,ul. Fordońska,120,85-739
66421,Cieszyn,pl. Józefa Londzina,3,43-400
66422,Opole,ul. Tadeusza Kościuszki,43,45-062
66423,Ostrowiec Świętokrzyski,ul. Jana Kilińskiego,49,27-400
66424,Ostróda,ul. Seweryna Pieniężnego,35a,14-100
66425,Dąbrowa Górnicza,,14,41-300
66426,Dąbrowa Górnicza,ul. Królowej Jadwigi,12,41-300
66427,Dąbrowa Górnicza,,14,41-300
66428,Dąbrowa Górnicza,ul. Królowej Jadwigi,12,41-300
66429,Strzelno,ul. Gimnazjalna,17,88-320
66430,Dąbrowa Górnicza,ul. Królowej Jadwigi,12,41-300
66431,Długa Kościelna,ul. Kochanowskiego,54,05-074
66432,Ustroń,ul. Słoneczna,2,43-450
66433,Żarki,ul. Sosnowa,2,42-310
66434,Boćki,ul. Dubieńska,4,17-111
66435,Bielsko-Biała,ul. Stefanii Sempołowskiej,1,43-300
66436,Łask,ul. Tadeusza Kościuszki,22,98-100
66437,Warszawa,,39,00-029
66438,Wadowice,ul. Nadbrzeżna,25b,34-100
66439,Kędzierzyn-Koźle,ul. Grzegorza Piramowicza,36,47-200
66440,Płock,al. marsz. Józefa Piłsudskiego,31,09-407
66441,Rokietnica,,108,37-562
66442,Dębno,ul. Jana Pawła II,1,74-400
66443,Barlinek,ul. Kombatantów,3,74-320
66444,Chrzanów,ul. Pogorska,8c,32-500
66445,Kielce,ul. Ignacego Paderewskiego,55,25-950
66446,Chojnice,ul. Tuwima,2,89-600
66447,Chojnice,ul. Tuwima,2,89-600
66448,Złoczew,ul. Szeroka,1,98-270
66449,Rawa Mazowiecka,ul. Tadeusza Kościuszki,20,96-200
66450,Staszów,ul. Koszarowa,7,28-200
66451,Rawa Mazowiecka,ul. Zygmunta Zwolińskiego,46,96-200
66452,Rawa Mazowiecka,ul. Tadeusza Kościuszki,20,96-200
66453,Rawa Mazowiecka,ul. Tadeusza Kościuszki,20,96-200
66454,Gołdap,ul. Królewiecka,8,19-500
66455,Tychy,,8,43-100
66456,Olecko,ul. Czerwonego Krzyża,3,19-400
66457,Olecko,ul. Batorego,14A,19-400
66458,Olecko,ul. Batorego,14A,19-400
66459,Olecko,ul. Norwida,17,19-400
66460,Gostyń,ul. Cukrownicza,1,63-800
66461,Iława,ul. Grunwaldzka,13,14-200
66462,Jasło,ul. Wincentego Pola,9,38-200
66463,Nowe Marcinkowo,,1,11-300
66464,Miechów,ul. ks. Skorupki,3,32-200
66465,Miechów,ul. ks. Skorupki,3,32-200
66466,Łomża,ul. Wojska Polskiego,113,18-400
66467,Rawa Mazowiecka,ul. Tadeusza Kościuszki,20,96-200
66468,Kielce,al. IX Wieków Kielc,8,25-516
66469,Poznań,ul. gen. Tadeusza Kutrzeby,10,61-719
66470,Kielce,al. IX Wieków Kielc,8,25-516
66471,Kielce,al. IX Wieków Kielc,8,25-516
66472,Kielce,al. IX Wieków Kielc,8,25-516
66473,Kraków,ul. Teofila Aleksandra Lenartowicza,7,31-138
66474,Kielce,al. IX Wieków Kielc,8,25-516
66475,Gorzów Wielkopolski,ul. marsz. Józefa Piłsudskiego,9,66-400
66476,Ostrowiec Świętokrzyski,ul. Szkolna,19a,27-400
66477,Balice,ul. Akacjowa,11,32-083
66478,Lubin,ul. Mikołaja Kopernika,8,59-300
66479,Łódź,ul. Rewolucji 1905 r.,52,90-213
66480,Łódź,ul. Rewolucji 1905 r.,52,90-213
66481,Łódź,ul. Rewolucji 1905 r.,52,93-192
66482,Rumia,ul. Stefana Batorego,29,84-230
66483,Tomaszów Mazowiecki,ul. św. Antoniego,57/61,97-200
66484,Jasło,ul. Stanisława Staszica,30,38-200
66485,Środa Wielkopolska,ul. Czerwonego Krzyża,14,63-000
66486,Białystok,,3,15-013
66487,Jędrzejów,,6,28-300
66488,Jędrzejów,ul. Okrzei,63,28-300
66489,Oława,ul. 3 Maja,16F,55-200
66490,Oława,ul. 3 Maja,16F,55-200
66491,Ustka,ul. Walerego Wróblewskiego,7,76-270
66492,Kielce,al. IX Wieków Kielc,8,25-516
66493,Lublin,ul. Farbiarska,8,20-107
66494,Lublin,ul. Farbiarska,8,20-107
66495,Suwałki,ul. Teofila Noniewicza,85F,16-400
66496,Świnoujście,ul. Jana Kasprowicza,4,72-600
66497,Lublin,ul. Farbiarska,8,20-107
66498,Słupsk,ul. Karola Szymanowskiego,10,76-200
66499,Kikół,ul. Targowa,6,87-620
66500,Przemyśl,ul. Stefana Czarnieckiego,2,37-700
66501,Tarnobrzeg,ul. Stanisława Wyspiańskiego,12,39-400
66502,Rawicz,ul. Józefa Miedzińskiego,6D,63-900
66503,Andrychów,ul. Jarosława Dąbrowskiego,2,34-120
66504,Andrychów,ul. Jarosława Dąbrowskiego,2,34-120
66505,Busko-Zdrój,ul. Wojska Polskiego,31,28-100
66506,Goliszew,,17,62-817
66507,Goliszew,,17,62-817
66508,Kletnia,,99,08-540
66509,Koło,ul. Kolejowa,5,62-600
66510,Zamość,ul. Podchorążych,2,22-400
66511,Zamość,ul. Partyzantów,9,22-400
66512,Zamość,ul. Krasnobrodzka,22a,22-400
66513,Świnoujście,ul. Jana Kasprowicza,4,72-600
66514,Czersk,ul. Dworcowa,8,89-650
66515,Zamość,ul. Szwedzka,4a,22-400
66516,Zamość,ul. Henryka Sienkiewicza,22a,22-400
66517,Gdańsk,ul. Wały Piastowskie,1,80-958
66518,Piotrków Trybunalski,ul. Krakowskie Przedmieście,2,97-300
66519,Łowicz,ul. Stanisława Stanisławskiego,31,99-400
66520,Białystok,ul. Wincentego Rzymowskiego,43/43,15-349
66521,Libiąż,ul. Kościelna,2,32-590
66522,Wieluń,ul. Józefa Piłsudskiego,6,98-300
66523,Łowicz,ul. Stanisława Stanisławskiego,31,99-400
66524,Łowicz,ul. Stanisława Stanisławskiego,31,99-400
66525,Zakopane,ul. Kasprusie,35A,34-500
66526,Żegiestów,,77A,33-370
66527,Katowice,ul. Jasna,18,40-117
66528,Warszawa,,128,00-454
66529,Ciechanów,ul. Henryka Sienkiewicza,33,06-400
66530,Ciechanów,ul. Płocka,100,06-400
66531,Radom,pl. Stare Miasto,10,26-600
66532,Ostrołęka,ul. Parkowa,6,07-410
66533,Kalisz,ul. Południowa,62,62-800
66534,Złotów,ul. Szkolna,3,77-400
66535,Jastrzębie-Zdrój,ul. Opolska,3,44-335
66536,Kraków,ul. Litewska,34,30-014
66537,Kraków,ul. Litewska,34,30-014
66538,Żegiestów,,77A,33-370
66539,Żegiestów,,77A,33-370
66540,Siedlce,ul. Mieczysława Asłanowicza,2,08-110
66541,Warszawa,ul. Obrońców,31,03-933
66542,Łódź,ul. Borówkowa,4,91-496
66543,Bydgoszcz,ul. Dworcowa,80,85-010
66544,Puławy,ul. Hugona Kołłątaja,64,24-100
66545,Toruń,ul. Janiny Bartkiewiczówny,93,87-100
66546,Turek,al. Józefa Piłsudskiego,5,62-700
66547,Poznań,,57,60-446
66548,Toruń,ul. Henryka Sienkiewicza,38,87-100
66549,Opole,ul. Józefa Hallera,9,45-867
66550,Toruń,ul. Janiny Bartkiewiczówny,93,87-100
66551,Wrocław,,42,50-230
66552,Toruń,ul. Janiny Bartkiewiczówny,93,87-100
66553,Legnica,pl. Zamkowy,1,59-220
66554,Krzeszowice,Rynek,7,32-065
66555,Wrocław,,8a,53-025
66556,Kraków,ul. Litewska,34,30-014
66557,Kraków,ul. Litewska,34,30-014
66558,Lesko,ul. Wincentego Pola,1,38-600
66559,Mojęcice,ul. Wołowska,4,56-100
66560,Białystok,ul. Józefa Ignacego Kraszewskiego,33,15-024
66561,Bielsko-Biała,ul. Juliusza Słowackiego,45,43-300
66562,Bielsko-Biała,ul. Juliusza Słowackiego,45,43-300
66563,Łomża,ul. Władysława Stanisława Reymonta,4,18-400
66564,Bydgoszcz,ul. Grunwaldzka,32,85-236
66565,Ustrzyki Dolne,ul. Przemysłowa,16,38-700
66566,Ostrołęka,ul. Parkowa,6,07-410
66567,Ostrołęka,ul. Parkowa,6,07-410
66568,Sosnowiec,ul. Warszawska,20,41-200
66569,Ropczyce,ul. Konopnickiej,3,39-100
66570,Przemyśl,ul. Waleriana Łukasińskiego,12,37-700
66571,Dębica,ul. Kościuszki,36,39-200
66572,Nisko,ul. Fryderyka Chopina,31,37-400
66573,Rzeszów,ul. płk. Leopolda Lisa-Kuli,13,35-025
66574,Leżajsk,ul. Marii Curie-Skłodowskiej,6,37-300
66575,Opole,ul. Józefa Hallera,9,45-867
66576,Przemków,ul. Leśna Góra,3,59-170
66577,Kraków,ul. Piotra Michałowskiego,4,31-126
66578,Olsztyn,ul. Stanisława Murzynowskiego,20,10-684
66579,Białystok,,77,15-003
66580,Rzeszów,ul. Bohaterów,12,35-112
66581,Szczecin,ul. Mazowiecka,13,70-526
66582,Toruń,ul. Stanisława Moniuszki,11/13,87-100
66583,Legnica,pl. Zamkowy,1,59-220
66584,Siedlce,ul. Jana Kochanowskiego,18,08-110
66585,Kraków,ul. Litewska,34,30-014
66586,Smerdyna,,100,28-200
66587,Smerdyna,,100,28-200
66588,Bielsko-Biała,ul. Młyńska,25,43-300
66589,Wieliczka,ul. Marii Konopnickiej,11,32-020
66590,Kraków,ul. por. Wąchały,7,30-608
66591,Kraków,ul. Litewska,34,30-014
66592,Nowe Miasto Lubawskie,ul. Tysiąclecia,1,13-300
66593,Poznań,ul. Za Cytadelą,108,61-663
66594,Poznań,ul. Za Cytadelą,108,61-663
66595,Dzierżoniów,ul. Garncarska,3,58-200
66596,Łódź,al. marsz. Józefa Piłsudskiego,135,92-318
66597,Kraków,ul. Zaborze,1,30-429
66598,Krzemienna,,49,36-204
66599,Krzywe,,61,36-204
66600,Sosnowiec,ul. Emila Zegadłowicza,1,41-200
66601,Tychy,al. Niepodległości,32,43-100
66602,Nowy Wiśnicz,ul. Bocheńska,6,32-720
66603,Bielsko-Biała,ul. Legionów,25,43-300
66604,Zabrze,pl. Plac Warszawski,6,41-800
66605,Bytom,ul. Chorzowska,22,41-902
66606,Sosnowiec,ul. Emila Zegadłowicza,1,41-200
66607,Sosnowiec,ul. Emila Zegadłowicza,1,41-200
66608,Sosnowiec,ul. Emila Zegadłowicza,1,41-200
66609,Łasin,ul. Odrodzenia Polski,3,86-320
66610,Częstochowa,ul. Kosmowskiej,5,42-224
66611,Częstochowa,al. Aleja Jana Pawła II,126,42-200
66612,Bielsko-Biała,ul. Krakowska,30,43-300
66613,Swarzędz,ul. Księżycowa,14b,62-020
66614,Cieszyn,ul. Długa,25,43-400
66615,Tychy,al. Bielska,92,43-100
66616,Elbląg,ul. 1 Maja,2,82-300
66617,Sulejówek,ul. Kombatantów,65,05-070
66618,Sulejówek,ul. Zamojska,21,05-071
66619,Sosnowiec,ul. Ostrogórska,21,41-200
66620,Sosnowiec,ul. Ostrogórska,21,41-200
66621,Białystok,pl. Rynek Kościuszki,24,15-426
66622,Mogilany,ul. Zakopiańska,85,32-031
66623,Serock,ul. Zakroczymska,3,05-140
66624,Jaworzno,ul. Gabriela Narutowicza,6,43-600
66625,Łomża,ul. Krzywe Koło,9,18-400
66626,Warszawa,ul. Ryżowa,88A,02-495
66627,Łomża,ul. Adama Mickiewicza,19,18-400
66628,Śrem,ul. Wojska Polskiego,7,63-100
66629,Poddębice,ul. Polna,14,99-200
66630,Rabka-Zdrój,ul. Sądecka,2,34-700
66631,Rabka-Zdrój,ul. Sądecka,2,34-700
66632,Gorzów Wielkopolski,ul. Stefana Okrzei,42,66-400
66633,Niepołomice,ul. 3 Maja,23,32-005
66634,Niepołomice,ul. 3 Maja,23,32-005
66635,Warszawa,ul. Powstańców Śląskich,106D,01-466
66636,Białystok,ul. Ciepła,1/16,15-427
66637,Głubczyce,ul. Kochanowskiego,31,48-100
66638,Głubczyce,ul. Niepodległości,1,48-100
66639,Opole,ul. Oleska,125A,45-231
66640,Białystok,ul. Jerzego Waszyngtona,22,15-274
66641,Tuchorza,,51,64-232
66642,Bydgoszcz,ul. Tadeusza Kościuszki,37A,85-079
66643,Ochla,ul. Żagańska,16,66-006
66644,Bytom,ul. Andrzeja Frycza-Modrzewskiego,5,41-907
66645,Koszalin,ul. Zwycięstwa,28,75-037
66646,Warszawa,,42,00-695
66647,Koszalin,ul. Zwycięstwa,28,75-037
66648,Koszalin,ul. Zwycięstwa,28,75-037
66649,Koszalin,ul. Zwycięstwa,28,75-037
66650,Przemyśl,ul. Mikołaja Kopernika,7,37-700
66651,Dunkowa,,1,56-300
66652,Czatkowice,ul. Szosowa,2,56-300
66653,Nowe Grodzisko,,9,56-300
66654,Kętrzyn,ul. Wojska Polskiego,12,11-400
66655,Katowice,ul. Józefa Lompy,17,40-038
66656,Mikołów,ul. Żwirki i Wigury,56,43-190
66657,Zgierz,pl. Jana Kilińskiego,4/4A,95-100
66658,Gdynia,ul. A. Hryniewickiego,10,81-340
66659,Szczecin,ul. Królowej Korony Polskiej,21,70-486
66660,Szczebrzeszyn,ul. Ogrodowa,1,22-460
66661,Katowice,ul. Józefa Lompy,17,40-038
66662,Katowice,ul. Józefa Lompy,17,40-038
66663,Gdynia,ul. Nowowiczlińska,80,81-577
66664,Gdynia,ul. Komandorska,14u,81-223
66665,Łódź,ul. Rewolucji 1905 r.,65,90-221
66666,Łódź,ul. Rewolucji 1905 r.,65,90-221
66667,Świnoujście,ul. Grunwaldzka,47,72-600
66668,Leszno,pl. Jana Metziga,25,64-100
66669,Legnica,ul. Dezyderego Chłapowskiego,13,59-220
66670,Legnica,ul. Dezyderego Chłapowskiego,13,59-220
66671,Legnica,ul. Dezyderego Chłapowskiego,13,59-220
66672,Legnica,ul. Dezyderego Chłapowskiego,13,59-220
66673,Legnica,ul. Dezyderego Chłapowskiego,13,59-220
66674,Warszawa,,8,00-023
66675,Warszawa,,40,01-494
66676,Warszawa,ul. Vincenta van Gogha,1,03-188
66677,Łódź,ul. Rewolucji 1905 r.,65,90-221
66678,Wodzisław Śląski,ul. Tysiąclecia,25,44-300
66679,Wodzisław Śląski,ul. Tysiąclecia,25,44-300
66680,Grudziądz,ul. Kornela Makuszyńskiego,4,86-300
66681,Sosnowiec,ul. Warszawska,12,41-200
66682,Tomaszów Lubelski,ul. Lwowska,120,22-600
66683,Nowy Tomyśl,,25,64-300
66684,Kęty,ul. Żwirki i Wigury,27b,32-650
66685,Kęty,ul. Żwirki i Wigury,27b,32-650
66686,Żywiec,ul. Komisji Edukacji Narodowej,3,34-300
66687,Żywiec,ul. Komisji Edukacji Narodowej,3,34-300
66688,Żywiec,ul. Komisji Edukacji Narodowej,3,34-300
66689,Leszno,ul. Gabriela Narutowicza,74a,64-100
66690,Jelenia Góra,al. Jana Pawła II,25,58-506
66691,Bydgoszcz,ul. Ignacego Łukasiewicza,3,85-821
66692,Bydgoszcz,ul. Ignacego Łukasiewicza,3,85-821
66693,Piła,al. Niepodległości,2,64-920
66694,Jelenia Góra,al. Jana Pawła II,25,58-506
66695,Bytom,ul. Powstańców Śląskich,6,41-902
66696,Gdańsk,ul. Płocka,4,80-180
66697,Chorzów,ul. Jagiellońska,2,41-500
66698,Słupsk,ul. Szczecińska,36,76-200
66699,Gdańsk,ul. Miałki Szlak,74,80-717
66700,Biłgoraj,ul. Lubelska,7,23-400
66701,Zduńska Wola,ul. Królewska,6,98-220
66702,Gniezno,ul. Augusta Cieszkowskiego,17,62-200
66703,Bielsko-Biała,ul. Nadbrzeżna,12,43-300
66704,Bochnia,ul. Konfederatów Barskich,29,32-700
66705,Bielsko-Biała,ul. gen. Józefa Kustronia,40,43-316
66706,Łomża,al. marsz. Józefa Piłsudskiego,83,18-403
66707,Ostrów Wielkopolski,ul. Kolejowa,20,63-400
66708,Rzeszów,al. Józefa Piłsudskiego,31,35-074
66709,Gorzów Wielkopolski,ul. Młyńska,1,66-400
66710,Rzeszów,al. Józefa Piłsudskiego,31,35-074
66711,Gorzów Wielkopolski,ul. Podmiejska,17 B,66-400
66712,Rybnik,ul. Rudzka,13c,44-200
66713,Szczecin,ul. Mieszka I,61c,71-011
66714,Szczecin,ul. Władysława Szafera,134,71-245
66715,Szczecin,ul. Piaseczna,40,70-893
66716,Szczecin,ul. Piaseczna,40,70-893
66717,Ciechanów,ul. Ignacego Kraszewskiego,8a,06-400
66718,Przytoczna,ul. Polna,17,66-340
66719,Elbląg,ul. Jana Amosa Komeńskiego,39,82-300
66720,Świebodzice,ul. Marii Skłodowskiej-Curie,9,58-160
66721,Świebodzice,ul. Marii Skłodowskiej-Curie,9,58-160
66722,Elbląg,ul. Jana Amosa Komeńskiego,39,82-300
66723,Elbląg,ul. Jana Amosa Komeńskiego,39,82-300
66724,Stargard,ul. Generała Józefa Bema,6,73-110
66725,Słupsk,ul. Cypriana Kamila Norwida,2,76-200
66726,Gdynia,ul. Jemiołowa,49,81-589
66727,Skawina,ul. Hallerów,2a,32-050
66728,Koszalin,ul. Powstańców Wielkopolskich,23,75-100
66729,Koszalin,ul. Rzemieślnicza,9,75-243
66730,Koszalin,ul. Rzemieślnicza,9,75-243
66731,Koszalin,ul. Zwycięstwa,46,75-038
66732,Rzeszów,ul. Franciszka Kotuli,3a,35-122
66733,Kielce,ul. Batalionów Chłopskich,50,25-671
66734,Stargard,ul. Kardynała Stefana Wyszyńskiego,6,73-110
66735,Pułtusk,ul. Aleja Tysiąclecia,12,06-100
66736,Poznań,ul. Grunwaldzka,182,60-166
66737,Pułtusk,ul. Aleja Tysiąclecia,12,06-100
66738,Warszawa,ul. Dębowa,12m,03-054
66739,Grójec,ul. Polna,17A,05-600
66740,Żychlin,ul. Parkowa,2,62-571
66741,Wiadrów,,38,59-411
66742,Myślenice,ul. Kazimierza Wielkiego,53,32-400
66743,Nowe Miasto nad Pilicą,ul. Tomaszowska,123,26-420
66744,Nowe Miasto nad Pilicą,ul. Tomaszowska,123,26-420
66745,Kamieniec Ząbkowicki,ul. Zamkowa,3,57-230
66746,Szczecin,pl. Jana Kilińskiego,3,70-965
66747,Świnoujście,ul. Marynarzy,4,72-600
66748,Świnoujście,ul. Marynarzy,4,72-600
66749,Świnoujście,ul. Marynarzy,4,72-600
66750,Szczecin,ul. Kresowa,32,71-770
66751,Wronki,ul. Partyzantów,5,64-510
66752,Chocianów,ul. Kolonialna,13,59-140
66753,Stalowa Wola,ul. Harcerska,2,37-450
66754,Nowy Tomyśl,ul. Poznańska,30,64-300
66755,Kuchary,,99,63-322
66756,Kuchary,,99,63-322
66757,Nowy Tomyśl,ul. Poznańska,30,64-300
66758,Stary Tomyśl,,1,64-300
66759,Białystok,ul. Poleska,61,15-467
66760,Bolewicko,,20,64-305
66761,Brwinów,ul. Wiosenna,19,05-840
66762,Kraków,ul. Józefa Łepkowskiego,7,31-423
66763,Sompolno,ul. Gimnazjalna,2,62-610
66764,Granica,ul. Główna,91,05-806
66765,Jelenia Góra,ul. Zygmunta Noskowskiego,10,58-500
66766,Bielawa,,46,55-093
66767,Zabrze,ul. Królewska,4,41-800
66768,Rumienica,,29,14-260
66769,Rzeszów,ul. Jana III Sobieskiego,2d,35-002
66770,Pabianice,ul. Odrodzenia,11,95-200
66771,Konstantynów Łódzki,ul. Sadowa,5,95-050
66772,Nowy Sącz,ul. Jana Kochanowskiego,3,33-300
66773,Bielsk Podlaski,ul. Tadeusza Rejtana,24,17-100
66774,Piaseczno,ul. Kazimierza Jarząbka,20,05-500
66775,Nowy Sącz,ul. Jana Kochanowskiego,3,33-300
66776,Bielsk Podlaski,ul. Kryniczna,22,17-100
66777,Bytom,ul. Antoniego Józefczaka,40,41-902
66778,Bytom,ul. Antoniego Józefczaka,40,41-902
66779,Bytom,ul. Antoniego Józefczaka,40,41-902
66780,Bytom,ul. Antoniego Józefczaka,40,41-902
66781,Grodzisk Mazowiecki,ul. Sportowa,31,05-825
66782,Leszno,Rynek,33,64-100
66783,Sudragi,ul. Szkolna,10,09-200
66784,Otorowo,ul. Łąkowa,3,64-551
66785,Warszawa,ul. Gładka,16,02-172
66786,Iłowa,ul. Pałacowa,1,68-120
66787,Łódź,ul. Adama Próchnika,42,90-713
66788,Warszawa,ul. Książęca,4,00-498
66789,Gdańsk,ul. Smoleńska,5,80-058
66790,Chełm,ul. Jagiellońska,29,22-100
66791,Elbląg,ul. Królewiecka,215,82-300
66792,Świnoujście,ul. Marynarzy,4,72-600
66793,Gdańsk,ul. Kartuska,32,80-104
66794,Gdańsk,ul. Kartuska,32,80-104
66795,Rybnik,ul. 3 Maja,18,44-200
66796,Gdańsk,al. Grunwaldzka,609 D,80-336
66797,Poznań,ul. Jana Henryka Dąbrowskiego,163,60-594
66798,Szczecin,ul. Mazowiecka,13,70-526
66799,Świnoujście,ul. Marynarzy,4,72-600
66800,Szczecin,ul. Dworcowa,2,70-206
66801,Szczecin,ul. Budziszyńska,2,70-023
66802,Szczecin,ul. Budziszyńska,2,70-023
66803,Żary,ul. Bolesława Chrobrego,23,68-200
66804,Wrocław,ul. Jantarowa,5,53-330
66805,Wrocław,ul. Jantarowa,5,53-330
66806,Wrocław,ul. Jantarowa,5,53-330
66807,Gdańsk,ul. Władysława Biegańskiego,39,80-807
66808,Gdańsk,ul. Wałowa,17,80-858
66809,Gdańsk,ul. Jacka Malczewskiego,51,80-107
66810,Gdańsk,ul. Jacka Malczewskiego,51,80-107
66811,Gdańsk,ul. Okopowa,15,80-819
66812,Gdańsk,al. gen. Józefa Hallera,147,80-416
66813,Gdańsk,ul. Wały Piastowskie,1,80-958
66814,Gdańsk,ul. Wały Jagiellońskie,28/30,80-853
66815,Tarnobrzeg,ul. 1 Maja,8,39-400
66816,Gdańsk,ul. Karola Chodkiewicza,13 a,80-506
66817,Trzebinia,ul. Grunwaldzka,101,32-541
66818,Tomaszów Mazowiecki,ul. Przeskok,3,97-200
66819,Jaworzno,ul. Zagłoby,6,43-600
66820,Głogów,ul. Budziszyńska,17,67-200
66821,Świnoujście,ul. Grunwaldzka,47,72-600
66822,Kruki,ul. Krótka,2,07-415
66823,Lublin,ul. Bohdana Dobrzańskiego,3,20-262
66824,Antolka,,13,32-210
66825,Książ Mały,,59,32-210
66826,Żary,ul. Podwale,16,68-200
66827,Kamienna Góra,ul. Romualda Traugutta,2,58-400
